country,year,consumption_growth,fdi_pct_gdp,gdp_growth,gni_per_capita,inflation_pct,internet_users_pct,investment_pct_gdp,population,urbanization_pct,political_stability,regulatory_quality,rule_of_law,data_completeness_pct
China,2015,8.79647626075936,2.14957284731563,6.98162255562367,8040.0,1.43702380935655,50.29999924,42.7349872564364,1379860000.0,57.3297843933105,-0.5462433,-0.1789518,-0.6620808,99.0
China,2016,9.48691271656419,1.52539470315394,6.7736886867727,8360.0,2.00000182191943,53.2,42.1386166189127,1387790000.0,58.8399238586426,-0.501441799999999,-0.147913799999999,-0.6211726,99.0
China,2017,9.17518016093987,1.32468971748482,6.89123916636191,8830.0,1.59313600071436,54.3,42.5497375507577,1396215000.0,60.2402687072754,-0.203288,-0.0708427,-0.5354403,99.0
China,2018,8.32243818058333,1.66361992284408,6.757806142324,9720.0,2.07479039965576,65.35839844,43.313827489682,1402760000.0,61.5001983642578,-0.237003599999999,-0.0905581,-0.5204445,99.0
China,2019,5.6868312802211,1.28549226847992,6.06737806333672,10510.0,2.89923416358227,64.080881297515,42.6695374085222,1407745000.0,62.7099151611328,-0.138588699999999,-0.0619233999999999,-0.5515574,99.0
China,2020,-2.71158024795403,1.68770756292082,2.33950385203023,10740.0,2.41942189457782,70.05275998,42.5723735094229,1411100000.0,63.5234230266258,-0.302661299999999,-0.0666201,-0.5093696,99.0
China,2021,13.1379813941195,1.8903454142588,8.57038414981781,12220.0,0.981015135544882,73.05323517,42.6822612949312,1412360000.0,64.721076965332,-0.259168,-0.0246937,-0.5386195,99.0
China,2022,1.49405307007524,1.03841365474349,3.13385438394069,13170.0,1.97357555739051,75.61131603,42.3554333470499,1412175000.0,65.2176361083984,-0.249058199999999,-0.0908271,-0.563864399999999,99.0
China,2023,9.65440854328679,0.280991103634816,5.41600334492955,13750.0,0.234836828893051,90.6,41.1297102455381,1410710000.0,65.5301448035523,-0.174451499999999,-0.0818839,-0.552260699999999,99.0
China,2024,5.01509972457532,0.227695125306895,4.95830378788091,13660.0,0.218128938439177,92.0,40.4815134449629,1408975000.0,65.8946980998325,-0.153336399999999,-0.0712903,-0.579319799999999,99.0
India,2000,3.43958937687052,0.765211694280817,3.84099115686554,440.0,4.0094359104519,0.527532449930946,25.677316683955,1057922733.0,27.6470407512523,-0.9733951,-0.3746035,0.2604152,99.0
India,2001,5.95289739416627,1.05638020993358,4.82396626397303,450.0,3.77929312235637,0.660146377009928,29.9078889827325,1077898575.0,27.9028652096636,,,,99.0
India,2002,2.87047855753082,1.01156946489919,3.80397532120038,460.0,4.29715203929562,1.53787558175083,30.2513001207186,1097600380.0,28.1756878910456,-1.2778882,-0.389617799999999,-0.0434055999999999,99.0
India,2003,5.92532039029332,0.605887857091792,7.86038147545045,510.0,3.80585899528853,1.68648997063625,30.8396999424416,1116803006.0,28.4660287698,-1.42092669999999,-0.441382,0.0275527,99.0
India,2004,5.17112560012411,0.765596855110284,7.92293661307978,610.0,3.76725173477517,1.97613649190559,35.0964917017773,1135991513.0,28.7726067228528,-1.0339705,-0.2047551,0.0575144,99.0
India,2005,7.45569538780553,0.886098378458823,7.92343062131789,700.0,4.24634362031924,2.388099909,37.4282640165983,1154676322.0,29.0945497159107,-0.8561375,-0.177473699999999,0.16927879999999998,99.0
India,2006,4.93577551194689,2.13016842534495,8.06073257305057,780.0,5.79652337561634,2.80549986534254,38.9985063717532,1172878890.0,29.4309857146804,-0.8196652,-0.1925709,0.2268876,99.0
India,2007,7.28156444495225,2.07339404668754,7.66081506510766,910.0,6.37288135593231,3.95,41.9507982267334,1190676021.0,29.7810426848684,-0.8184973,-0.2088541,0.1942209,99.0
India,2008,4.45219735697937,3.6205232354017,3.08669805950082,990.0,8.34926704907575,4.38,38.4224196528192,1207930964.0,30.1438485921815,-0.7693557,-0.2663175,0.1618552,99.0
India,2009,5.0007772532511,2.65159033235479,7.8618888330338,1110.0,10.8823529411764,5.12,39.2567917551336,1225524753.0,30.5185314023263,-0.913954899999999,-0.2438041,0.15029299999999998,99.0
India,2010,6.72040849311021,1.6350340943491,8.49758470165625,1210.0,11.9893899204245,7.5,39.7856241847736,1243481564.0,30.9042190810094,-0.942319199999999,-0.277761,0.0630896,99.0
India,2011,7.42198586934254,2.0020634629993,5.24131620024293,1350.0,8.9117933648336,10.07,39.590421855219,1261224954.0,31.2746502853309,-1.1659038,-0.3395793,-0.0132833999999999,99.0
India,2012,5.47085684358561,1.31293453035323,5.45638755164772,1460.0,9.47899691419793,11.10000038,38.3474156730403,1278674502.0,31.5898935604399,-1.15725679999999,-0.3740965,-0.1308812,99.0
India,2013,7.3031774919065,1.5162764665975,6.38610640091713,1500.0,10.0178784746104,12.30000019,34.0231978997548,1295829511.0,31.9096789235237,-1.17090389999999,-0.3722425,-0.1159615,99.0
India,2014,6.39385555921415,1.69565958990806,7.41022760516977,1540.0,6.66565671867899,13.5,34.2678056268836,1312277191.0,32.2288233408821,-0.817516599999999,-0.380901899999999,-0.165636199999999,99.0
India,2015,7.92811112115082,2.09211521443253,7.99625378567987,1580.0,4.90697344127249,14.89999962,32.1167301358276,1328024498.0,32.5472990022299,-0.7619187,-0.3303195,-0.1374229,99.0
India,2016,8.13012454478343,1.9373641224439,8.25630550176662,1670.0,4.94821634062134,16.5,30.172690580036,1343944296.0,32.8650780972823,-0.7362183,-0.2535746,-0.0823440999999999,99.0
