country,year,consumption_growth,fdi_pct_gdp,gdp_growth,gni_per_capita,inflation_pct,internet_users_pct,investment_pct_gdp,population,urbanization_pct
Brunei,2006,3.72947721267469,0.69467610091788,4.09841257308588,30720.0,0.159888078345121,42.1863491609307,15.1721720330137,364663.0,74.0148299904911
Brunei,2007,2.002755398847,1.91806992225192,-3.76362326254647,33470.0,0.967774119525101,44.68,19.7540037479305,370873.0,74.4344860960786
Brunei,2008,1.75763562742917,1.39506580939608,-3.90071101715114,36700.0,2.08498023715415,46.0,20.641358896163,377793.0,74.7929411399737
Brunei,2009,4.98804440516251,2.73305999823298,-1.90025367202547,35470.0,1.03571774271613,49.0,26.2203911122241,384952.0,75.0712970872547
Brunei,2010,1.79958892918677,3.50710078835613,2.74136439456163,35370.0,0.356869132017561,53.0,23.6902575256773,392332.0,75.2506559029998
Brunei,2011,5.4109037917457,3.73105568458092,3.74440625524871,36520.0,0.13791156316954,56.0,26.0242928941481,399389.0,75.312125504778
Brunei,2012,8.6624786051031,4.54055753809902,0.913135189664487,41690.0,0.111766261400307,60.27310181,32.8821465207434,405557.0,75.2714233503027
Brunei,2013,6.03260396777068,4.28670084809197,-2.12478292664558,44580.0,0.389205053123632,64.5,39.5934116228483,411202.0,75.1756915148608
Brunei,2014,-3.71042112467114,3.35660901155102,-2.50788727590711,42370.0,-0.207108731719822,68.76999664,27.44181699276,416750.0,75.0572639801502
Brunei,2015,5.22836962304385,1.32471179544033,-0.392383749502031,38180.0,-0.488347420743522,71.19999695,35.2473258617273,422212.0,74.9484620568562
Brunei,2016,-1.31732853335123,-1.32059047324396,-2.47791771833224,32570.0,-0.278693265753083,90.0,34.6202628541232,427564.0,74.8816070556641
Brunei,2017,4.72336260592112,3.85818821585897,1.32872661057823,29230.0,-1.2605056462896,94.86669922,34.804760189414,432772.0,74.8476440654983
Brunei,2018,2.17754790548202,3.80486552830842,0.0523710418528935,28790.0,1.02505179290212,95.0,41.0665959296934,437810.0,74.8172471714305
Brunei,2019,6.05489002751258,2.77118007919324,3.86884436177075,31550.0,-0.390522069165529,95.0,38.6777534991209,442680.0,74.7923311783673
Brunei,2020,21.535969791503,4.71057565284031,1.1335733495246,30810.0,1.94031996607184,96.30549622,40.5878302733583,447404.0,74.7748108912151
Brunei,2021,5.55089873925077,1.47404982867232,-1.59076260099606,29890.0,1.73341388450593,97.62879944,31.2725676396553,451721.0,74.7667316936175
Brunei,2022,8.33096652576766,-1.73946797718401,-1.62833154515108,30970.0,3.68225030604216,98.97042579,25.8510429426901,455370.0,74.7772642014221
Brunei,2023,11.0541274684832,-0.37050451622702,1.12764418162719,34390.0,0.35706431153689,98.97039795,29.6282073672206,458949.0,74.8199193881365
Brunei,2024,5.32161859357294,0.189449066349964,4.05251709306727,36020.0,-0.388674165036461,96.29828801,27.8989646632704,462721.0,74.8983133873697
Cambodia,2000,4.9797381987855,3.20257592365608,9.99358032292079,290.0,-0.791992529473567,0.047022640068885,20.3442509411501,12462336.0,18.6242216655572
